Organizer,Edition,Category,Registration Fee,Squad Member Count,Length,Start Time,Location,Squads
Hedokvizam,Hedokvizam,General Knowledge,2 EUR per player,1 - 5,140 min,"Mon, 23.10.2023. @ 20:00","Plava ptica|Ul. kralja Držislava, 10000, Zagreb, Croatia","['results', '1 Jemen ti mater 40', '2 Nemamo Kemijsku 36', '3 Marko Kvizaja 35', '3 Žižekovi tikovi 35', '5 Gro zlata oko vrata 33', '6 The Bestrogen 32', '7 toma tvrdic 30.5', '8 Sandra Perković Thompson 30', '9 73 26', '10 Buržoslavija 23.5', '11 Don Quizote 22.5', '12 Bibin svijet 21.5', '12 Toni 21.5']"
Hedokvizam,Hedokvizam #57,General Knowledge,2 EUR per player,1 - 5,140 min,"Mon, 08.01. @ 20:00","Bluebird|Ul. kralja Držislava 4, 10000, Zagreb, Croatia","['results', '1 Jemen ti mater 42.5', '2 Marko Kvizaja 42', ""3 Gramz 'n' Noses 38.5"", '4 Retoričko pipanje 38', '5 Startovanje Grlića Radmana 36.5', '6 Don Quizote 36', '6 Nemamo kemijsku 36', '6 Žižekovi tikovi 36', '9 Sandra Perković Thompson 33', '10 Prometni pokušaj 32.5', '11 Freudova mama 31.5', '11 Litra maslinovog 10 eura 31.5', '13 Radno ime 29.5', '14 M&Ms 19.5']"
Vortex Quiz Factory,Varadero #67,General Knowledge,2 EUR per player,1 - 5,150 min,"Wed, 10.01. @ 20:00","Varadero Bar|Ozaljska ul. 8, 10000, Zagreb, Croatia","['results', '1 MATE SVJETSKI 76', '2 HRVATSKA TRAŽI ŽLIJEZDU 74', '3 MIŠEVI 72.5', '4 KVIZANTROPI 72', '5 ALTERNATIVNE ČINJENICE 70', '5 DENVERSKI OMLET 70', '7 MILF ŠNITE 69.5', '8 BRADE I BRKOVI 67.5', '9 SLAVEN MELUPO 66.5', '10 KLACKALICA STRAVE 66', '11 PLENKOŠENKO 65', '12 LES QUIZERABLES 63', '13 041 62.5', '14 NIXINI ANĐELI 59.5', '15 NAJSLABIJA KARIKA 58', '15 DRAČE ISPOD MASLINA 58', '17 PLITAK POTOK 56', '18 SRDELICE 50', '19 DRHTULJA MRKULJA 37.5', '20 TOMICA I PRIJATELJI 32']"
caffe bar London Zagreb,88. opći pub kviz,General Knowledge,Free,2 - 5,180 min,"Sat, 20.01. @ 19:00","Caffe Bar London|Nova Ves 73, 10000, Zagreb, Croatia","['results', '1 Milf Šnite 64', '2 Piceki 54', '3 Star TV 52', '4 Rđave vilice 51', '5 N-Fantasticus 47', '5 Pimpecus Maximus 47', '7 Kita cvijeća 41', '8 Tobbaco squad 33', '9 Diplomirani znalci 29']"
Hedokvizam,Hedokvizam #59,General Knowledge,2 EUR per player,1 - 5,140 min,"Mon, 22.01. @ 20:00","Caffe bar Plava ptica|Ul. kralja Držislava 4, 10000, Zagreb, Croatia","['results', '1 Jemen ti mater 41.5', '2 Marko Kvizaja 41', '3 Nemamo kemijsku 36.5', '4 Sandra Perković Thompson 36', '4 Moja Ines 36', '6 Prometni pokušaj 35', '7 Gro zlata oko vrata 34', '8 Žižekovi tikovi 32.5', '9 Don Quizote 25', '9 Zadnji 25', '11 Litra maslinovog 10 eura 23.5', '12 Zitfit 23']"
IQuiz,IQuiz CXXIV (124),General Knowledge,10 EUR per team,2 - 5,150 min,"Tue, 23.01. @ 20:00","IQ bar|Ul. Lavoslava Ružičke 66, 10000, Zagreb, Croatia","['results', '1 Ryan Kikks 42.5', '2 Rozi jednorozi 40.5', '3 Retoričko pipanje 37.5', '4 Nepovratna amblamaža 36.5', '5 Ezopove krasne 36', '5 Bare i plaćenici 36', '7 Kapetanica Lexi 34.5', '8 Svi nas se boje i lakovi 33', '9 Pravnici i suradnici 32.5', '9 Bro-Đani 32.5', '11 Usamljeni jahači 32', '12 Quizards of Oz 30.5', '13 Perzijske ružice 30', '13 Subliminalni desničari 30', '15 Oralne hijene 29.5', '16 Đumbirova družina 28', '17 Neuroticna mreza 26.5', '18 BEJ HA 25', '18 Ime ekipe 25', '20 Fourierovi sinovi 23.5', '20 Bandwagonaši 23.5', '20 Profesori i asistenti 23.5', '23 5 do ? 23', '24 Gemištaljke 20.5', '25 Luj XVI. 20', '26 Ski jam 19.5', '27 Validne bebe 18', '28 Vic team 17.5', '29 1950 13']"
qwyz,"qwyz #1, @Varadero Bar",General Knowledge,3 EUR per player,1 - 4,135 min,"Thu, 08.02. @ 20:00","Varadero Bar Zagreb|Ozaljska ul. 8, 10110, Zagreb, Croatia","['results', '1 Jaka rekcija 46.5', '2 Zombi ujak 43.5', '3 Retoričko pipanje 43.1', '4 Daj Kiri daiquiri 43', '5 OnlyFans and Horses 41.5', '6 Marijan je upolju 41', '7 Tihi ubojice 38', '7 Ispičuture 38', '9 Borg i Hrvati 35', '9 Nižerazredni vratnik 35', '11 ExDretva 34', '12 Pale Ale sam na svijetu 33', '12 On me voli na svom naći 33', '12 Ime nam je najmanji problem 33', '15 Lujovo prezime 32.5', '16 Bertha Mason 32', '17 Čonjci 31.5', '18 Milf šnite 30.5', '19 Jazavci 29.5', '20 Romi i Romulanci 28.6', '21 Shankatak 28.5', '22 Rikverc 27.5', '22 Srbi i Federacija 27.5', '24 Šrajbendorfčani 27', '25 Sestre nemilosrdnice 24.6', '26 Minerva 24.5', '27 RKR PMP 20', '28 Ispred knjižnice 19.5', '29 Bubice male 17']"
caffe bar London Zagreb,Tko pjeva zlo ne misli pub kviz,Other,Free,2 - 5,180 min,"Fri, 26.01. @ 20:15","Caffe Bar London|Nova Ves 73, 10000, Zagreb, Croatia","['results', '1 Rospije 64', '2 Šankatak 62', '3 Svinje prevarantske 55', '4 Rđave vilice 54', '5 Gumigelenk 51', '6 Pare i blaćenici 47', '7 Zajci 46', '8 Minus 5 42', '9 Boldrixi 36', '10 Loša fora Joška Lokasa 32', '11 Coctel 0', '11 Pištoljđije 0', '11 Šnelfotograf 0']"
Hedokvizam,Hedokvizam #60,General Knowledge,2 EUR per player,1 - 5,140 min,"Mon, 29.01. @ 20:00","Caffe bar Plava ptica|Ul. kralja Držislava 4, 10000, Zagreb, Croatia","['results', '1 Sandra Perković Thompson 40', '2 Marko Kvizaja 38.5', '3 Žižekovi tikovi 36.5', '4 Jemen ti mater 36', '5 Prometni pokušaj 33.5', '6 Litra maslinovog 10 eura 29', '7 Don Quizote 26', '8 And Then There Was One 25', '8 Tek je ponedjeljak 25']"
IQuiz,IQuiz CXXV (125),General Knowledge,10 EUR per team,2 - 5,150 min,"Tue, 30.01. @ 20:00","IQ bar|Ul. Lavoslava Ružičke 66, 10000, Zagreb, Croatia","['results', '1 Dinosauri 44.5', '2 Barry Lyndon Selahi 44', '3 Nepovratna amblamaža 43.5', '4 Rozi jednorozi 43', '5 Kapetanica Lexi 40', '6 Bro-Đani 37.5', '7 Retoričko pipanje 36.5', '8 Subliminalni desničari 35', '9 Quizards of Oz 34', '10 Neurotična mreža 33.5', '11 Svi nas se boje i lakovi 33', '12 Oralne hijene 32', '13 Star Whores 29.5', '14 The Bada Bings 27', '15 Crystal Math 26.5', '16 Sibirski plavac 25', '17 Jato Gavrana 23', '18 banans 22', '19 Griz i jaja 21.5', '20 Perzijske ruže 16.5', '21 Peti kotač 16', '22 Zadnje mjesto 6.5']"
Pub Quizling,Pub Quizling u Hendrixu,General Knowledge,10 EUR per team,2 - 5,120 min,"Sun, 11.02. @ 19:00","Hendrix Pub|Južna obala II 10, 10000, Zagreb, Croatia","['results', '1 Pope sagriješila sam 57', '2 Kukasti kviz 53', '3 Bober Kurwa 50.5', '4 Okupili smo se ovdje 47.5', '5 The Doors 46.5', '6 Đaka City 46', '7 Lipa i radosti 43.5', '8 Bivolje Brdo B.B. 42.5', '9 Netočan odgovor 36.5', '10 CKB1 34', '11 Geralt of Trivia 33', '12 Zadnji 23.5']"
IQuiz,IQuiz CXXVII (127),General Knowledge,10 EUR per team,2 - 5,150 min,"Tue, 13.02. @ 20:00","IQ bar|Ul. Lavoslava Ružičke 66, 10000, Zagreb, Croatia","['results', '1 Retoričko pipanje 45.5', '2 Assburger syndrome 45', '3 Nepovratna amblamaža 43.5', '4 Dalmacija, Panama 41.5', '5 Rozi jednorozi 40.5', '6 Subliminalni desničari 35', '7 Svi nas se boje i lakovi 34', '7 Kapetanica Lexi i posada 34', '9 Gnjile voćkice 33.5', '9 Sunčana strana guzice 33.5', '11 Galga Dota 33', '12 Oralne hijene 32', '13 Sove fušare 31.5', '14 Fourierovi sinovi 28.5', '15 Quizards of Oz 25.5', '16 Šampioni bez viskija 25', '17 Griz i jaja 24', '18 Okoš bokoš 23']"
Hedokvizam,Hedokvizam #62,General Knowledge,2 EUR per player,1 - 5,140 min,"Mon, 12.02. @ 20:00","Caffe bar Plava ptica|Ul. kralja Držislava 4, 10000, Zagreb, Croatia","['results', '1 Marko Kvizaja 40', '2 Jemen ti mater 35.5', '3 Sandra Perković Thompson 34.5', '4 Prometni pokušaj 32.5', '5 Krastavac 31.5', '6 Željko Sopić 27.5', '6 Don Quizote 27.5', '8 Litra maslinovog 10 eura 27', '9 And then there was one 15.5']"
